"","Transcript","Gene"
"476","ENST00000367571.3"," PLAGL1"
"477","ENST00000539014.5"," MAPK9"
"478","ENST00000568989.1"," UBE2I"
"479","ENST00000511663.5"," SH3BP2"
"480","ENST00000229794.8"," MAPK14"
"481","ENST00000527805.5"," ATM"
"482","ENST00000511663.5"," SH3BP2"
"483","ENST00000440484.1"," CASP9"
"484","ENST00000400777.7"," CASP9"
"485","ENST00000527181.1"," ATM"
"486","ENST00000405141.5"," NCOA1"
"487","ENST00000242057.8"," AHR"
"488","ENST00000520050.1"," LYN"
"489","ENST00000367969.8"," FCGR3A"
"490","ENST00000370434.1"," ABCC2"
"491","ENST00000429014.1"," CFTR"
"492","ENST00000529588.5"," ATM"
"493","ENST00000486198.1"," NCOA1"
"494","ENST00000443193.5"," FCGR3A"
"495","ENST00000469879.6"," MAPK8"
"496","ENST00000469110.1"," MAPK8"
"497","ENST00000504294.5"," SH3BP2"
"498","ENST00000642426.1"," CTNNB1"
"499","ENST00000567383.5"," UBE2I"
"500","ENST00000479023.5"," FGD4"
